"","level","stem"
"14965","B1","eing"
"14966","B1","eingebroch"
"14967","B1","eingefall"
"14968","B1","eingefugt"
"14969","B1","eingefuhrt"
"14970","B1","eingekauft"
"14971","B1","eingelad"
"14973","B1","eingenomm"
"14974","B1","eingepackt"
"14976","B1","eingerichtet"
"14980","B1","eingeschaltet"
"14981","B1","eingeschlaf"
"14982","B1","eingeschloss"
"14983","B1","eingesetzt"
"14984","B1","eingestellt"
"14985","B1","eingestieg"
"14986","B1","eingetrag"
"14988","B1","eingetret"
"14989","B1","eingezahlt"
"14990","A2","eingezob"
"14991","B1","eingezog"
"14992","B1","einheit"
"14994","A2","einhundert"
"14995","B1","einig"
"15003","B1","einigt"
"15005","B1","einkauf"
"15022","B1","einkaufslist"
"15023","B1","einkaufszentrum"
"15024","B1","einkomm"
"15026","A1","einlad"
"15046","A1","einmal"
"15086","B1","einnahm"
"15088","B1","einnehm"
"15091","A2","einpack"
"15094","B1","einpark"
"15095","B1","einricht"
"15100","B1","einsam"
"15101","B1","einschalt"
"15103","B1","einschaltet"
"15104","B1","einschliess"
"15105","B1","einschreib"
"15106","B1","einsetz"
"15107","A2","einsteig"
"15113","A2","einstein"
"15114","B1","einstell"
"15115","A2","eintrag"
"15117","B1","eintret"
"15118","A1","eintritt"
"15133","B1","eintrittskart"
"15134","A2","einverstand"
"15144","B1","einwohn"
"15145","B1","einwohnerin"
"15146","B1","einzahl"
"15148","B1","einzel"
"15151","B1","einzelkind"
"15152","B1","einzeln"
"15156","A1","einzelzimm"
"15162","A2","einzieh"
"15165","B1","einzig"
"15168","A2","eis"
"15177","B1","eisenbahn"
"15178","A2","eiwiii"
"15179","A2","elamat"
"15180","A2","elch"
"15181","A2","ele"
"15182","B1","elegant"
"15184","B1","elektr"
"15186","B1","elektro"
"15187","B1","elektrogerat"
"15188","B1","elektrogeschaft"
"15189","B1","elektroherd"
"15190","B1","elektroingenieur"
"15191","B1","elektron"
"15192","B1","elf"
"15193","A2","eln"
"15194","A1","elt"
"15220","B1","elternvertret"
"15221","A2","eltlfabrl"
"15222","A1","eltvill"
"15223","A2","emburo"
"15224","A2","eme"
"15225","A2","emen"
"15226","B1","emil"
"15227","B1","emilia"
"15228","B1","empfahl"
"15229","B1","empfang"
"15240","B1","empfangt"
"15241","A1","empfehl"
"15248","B1","empfiehlt"
"15249","B1","empfing"
"15250","B1","empfohl"
"15251","A2","emverstand"
"15252","A1","end"
"15272","A2","endet"
"15280","B1","endgult"
"15284","A2","endlich"
"15297","B1","endspiel"
"15298","A2","ener"
"15299","B1","energi"
"15302","A2","eng"
"15309","B1","england"
"15310","A2","englisch"
"15314","B1","englischkur"
"15315","B1","enkel"
"15316","B1","enkelin"
"15317","A2","enn"
"15318","A2","enntmss"
"15319","B1","ens"
"15320","B1","ent"
"15321","B1","entdeck"
"15322","B1","entdeckt"
"15325","B1","entfern"
"15326","B1","entfernt"
"15332","B1","entgeg"
"15333","B1","entgegengekomm"
"15334","B1","entgegenkomm"
"15335","B1","enthalt"
"15339","B1","entlang"
"15340","B1","entlass"
"15343","B1","entlasst"
"15345","B1","entliess"
"15346","B1","entscheid"
"15349","B1","entscheidet"
"15353","B1","entschied"
"15356","B1","entschliess"
"15357","B1","entschliesst"
"15358","B1","entschloss"
"15362","B1","entschluss"
"15363","A2","entschuldi"
"15364","A1","entschuld"
"15375","A2","entschuldigt"
"15401","B1","entsorg"
"15402","B1","entsorgt"
"15404","B1","entspann"
"15405","B1","entstand"
"15407","B1","entsteh"
"15408","B1","entsteht"
"15409","B1","enttausch"
"15411","B1","enttauscht"
"15415","B1","entwed"
"15418","B1","entwickeln"
"15419","B1","entwickelt"
"15423","B1","entwickl"
"15425","B1","enzo"
"15426","A2","eper"
"15427","A2","erbzum"
"15428","B1","erdapfel"
"15430","B1","erdbeergeschmack"
"15431","B1","erd"
"15434","A2","erdgeschoss"
"15440","B1","ereign"
"15441","B1","ereignet"
"15443","B1","ereignis"
"15446","A2","eren"
"15447","B1","erfahr"
"15450","B1","erfahrt"
"15456","B1","erfand"
"15457","B1","erfind"
"15458","B1","erfindet"
"15460","B1","erfolg"
"15464","B1","erfolgreich"
"15467","B1","erford"
"15470","B1","erfordert"
"15473","B1","erfuhr"
"15474","B1","erfull"
"15476","B1","erfullt"
"15478","B1","erfund"
"15479","B1","erganz"
"15480","B1","erganzt"
"15482","A1","ergebnis"
"15491","B1","ergeschoss"
"15492","B1","erhalt"
"15499","B1","erhielt"
"15500","B1","erhoh"
"15501","B1","erhoht"
"15507","B1","erhol"
"15508","B1","erholt"
"15513","A2","erichtet"
"15514","B1","erinn"
"15519","A2","erinnerst"
"15520","A2","erinnert"
"15524","B1","erinner"
"15526","B1","erkalt"
"15528","A2","erkaltet"
"15549","B1","erkannt"
"15553","B1","erkenn"
"15555","B1","erkennt"
"15556","A2","erklar"
"15566","A2","erklart"
"15573","B1","erkund"
"15575","B1","erkundigt"
"15578","A2","erlau"
"15579","B1","erlaub"
"15582","B1","erlaubnis"
"15584","A2","erlaubt"
"15599","A2","erlauhbt"
"15600","B1","erleb"
"15601","B1","erlebnis"
"15602","B1","erlebt"
"15605","B1","erled"
"15607","B1","erledigt"
"15610","B1","erleicht"
"15611","B1","erleichtert"
"15615","A2","ermass"
"15620","B1","ern"
"15621","B1","ernahr"
"15623","B1","ernahrt"
"15627","B1","ernst"
"15629","B1","ernsthaft"
"15630","B1","ernt"
"15631","B1","eroffn"
"15633","B1","eroffnet"
"15639","A2","err"
"15640","A2","erreich"
"15650","A2","erreicht"
"15656","B1","ersatz"
"15657","B1","erscheint"
"15658","B1","erschi"
"15659","B1","erschopft"
"15660","B1","erschrak"
"15661","B1","erschreck"
"15662","B1","erschreckt"
"15665","B1","erschrickt"
"15666","B1","erschrock"
"15668","B1","ersetz"
"15670","B1","ersetzt"
"15672","A2","erst"
"15720","B1","erstell"
"15721","B1","erstellt"
"15737","A2","ert"
"15738","B1","erwachs"
"15747","B1","erwart"
"15750","B1","erwartet"
"15754","B1","erweitert"
"15755","B1","erzahl"
"15764","A2","erzahlt"
"15775","B1","erzieh"
"15776","B1","erzieht"
"15778","B1","erzog"
"15780","A2","esen"
"15781","B1","esist"
"15782","A1","ess"
"15906","B1","essensausgab"
"15908","B1","essig"
"15909","B1","esstisch"
"15910","B1","etag"
"15912","B1","etc"
"15913","A2","etrsucht"
"15914","A2","ett"
"15915","B1","etwa"
"15923","A1","etwas"
"16021","A2","euch"
"16034","A1","euer"
"16036","A2","eufht"
"16037","A2","eur"
"16043","A1","euro"
"16108","B1","europa"
"16110","A2","eut"
"16111","B1","euuro"
"16112","A1","eva"
"16117","A2","evd"
"16118","B1","eventuel"
"16119","B1","eventuell"
"16120","A2","ever"
"16121","A2","ewg"
"16122","B1","ewig"
"16123","B1","expert"
"16124","B1","export"
"16126","B1","exportabteil"
"16127","B1","extra"
"16130","B1","extr"
"16131","B1","fabrik"
"16133","A2","fach"
"16138","B1","fachfrau"
"16139","B1","fachleut"
"16140","B1","fachmann"
"16141","A2","faer"
"16142","A2","fah"
"16143","B1","fahig"
"16145","A1","fahr"
"16156","B1","fahrbahn"
"16268","B1","fahrerin"
"16269","B1","fahrgeld"
"16270","A1","fahrkart"
"16289","B1","fahrkartenautomat"
"16290","B1","fahrkartenkontroll"
"16291","A2","fahrplan"
"16295","A1","fahrrad"
"16316","B1","fahrradfahr"
"16317","B1","fahrschein"
"16318","A2","fahrst"
"16325","B1","fahrstuhl"
"16326","A1","fahrt"
"16377","B1","fahrtkost"
"16378","B1","fahrzeug"
"16379","B1","fair"
"16380","B1","faktor"
"16381","A2","fall"
"16395","B1","fallig"
"16397","A2","fallt"
"16407","A1","falsch"
"16422","B1","fami"
"16423","A2","famil"
"16424","A1","famili"
"16463","B1","familienangehor"
"16464","B1","familienfei"
"16465","A1","familiennam"
"16470","A1","familienstand"
"16475","B1","familientreff"
"16476","A2","famill"
"16477","A2","fan"
"16478","B1","fand"
"16481","A2","fang"
"16484","A2","fangt"
"16494","B1","fantasi"
"16496","A2","fantast"
"16500","A1","farb"
"16512","B1","farbig"
"16514","A2","farbstift"
"16515","A2","fark"
"16516","B1","fas"
"16517","B1","faschiert"
"16519","B1","fasching"
"16522","B1","fasnacht"
"16523","B1","fasnachtsumzusg"
"16524","B1","fass"
"16525","B1","fasst"
"16527","A2","fast"
"16545","A2","faul"
"16549","B1","faulenz"
"16550","B1","faulenzt"
"16552","B1","fauteuil"
"16554","A1","fax"
"16556","B1","februar"
"16557","A2","fehl"
"16561","B1","fehlend"
"16576","A1","fehlt"
"16601","B1","feier"
"16603","A2","feierab"
"16606","A1","feiern"
"16615","B1","feiert"
"16616","A2","feiertag"
"16623","A1","feilertag"
"16624","B1","feld"
"16625","A2","fel"
"16626","A2","felertag"
"16627","A2","felix"
"16628","A1","fenst"
"16654","B1","fentlicht"
"16655","A2","feri"
"16672","B1","ferienapartment"
"16673","A2","ferienjob"
"16674","B1","ferienwohn"
"16675","A2","fern"
"16679","B1","fernbedien"
"16681","B1","ferngeseh"
"16682","B1","fernsehapparat"
"16683","A1","fernseh"
"16714","B1","fernsehkanal"
"16715","B1","fernzuseh"
"16716","A2","ferti"
"16717","A1","fertig"
"16747","B1","fertigzumach"
"16748","A2","fest"
"16786","B1","festgehalt"
"16787","B1","festgelegt"
"16788","B1","festgenomm"
"16789","B1","festgesetzt"
"16790","B1","festgestand"
"16791","B1","festgestellt"
"16792","B1","festhalt"
"16793","A2","festival"
"16794","B1","festleg"
"16795","B1","festnehm"
"16796","B1","festnetztelefon"
"16797","B1","festplatt"
"16798","B1","festsetz"
"16799","B1","feststeh"
"16800","B1","feststell"
"16801","A2","fetrtlg"
"16802","A2","fett"
"16808","B1","fettarm"
"16810","B1","feucht"
"16812","A1","feu"
"16817","B1","feueralarm"
"16818","B1","feuerwehr"
"16819","B1","feuerwehrmann"
"16820","B1","feuerzeug"
"16822","A1","fieb"
"16833","B1","fiel"
"16837","B1","figur"
"16839","A1","film"
"16896","A1","filugzeug"
"16897","B1","finanziell"
"16899","B1","finanzi"
"16900","B1","finanziert"
"16902","A1","find"
"16980","A2","findet"
"16993","B1","fing"
"16996","B1","fingernag"
"16997","A2","fiojek"
"16998","A1","firma"
"17038","B1","firm"
"17039","B1","firmeneroffn"
"17040","A1","fisch"
"17051","A2","fit"
"17057","B1","fitness"
"17058","A2","fiug"
"17059","B1","flach"
"17062","A1","flasch"
"17076","B1","fleck"
"17077","B1","fleis"
"17078","A1","fleisch"
"17099","B1","fleischhau"
"17100","B1","fleischhauerin"
"17101","A2","fleissig"
"17106","B1","flexibel"
"17107","A1","flieg"
"17115","B1","fliegt"
"17117","B1","flieh"
"17118","B1","flieht"
"17119","B1","fliess"
"17120","B1","fliessend"
"17122","B1","fliesst"
"17123","A2","flng"
"17124","B1","floh"
"17125","B1","flohmarkt"
"17127","A2","florian"
"17128","B1","floss"
"17129","B1","flot"
"17131","A2","flsj"
"17132","B1","flucht"
"17134","A2","flug"
"17140","A1","flughaf"
"17152","A2","flugzeug"
"17163","B1","flur"
"17166","A2","fluss"
"17172","B1","flussig"
"17173","A2","fmqs"
"17174","B1","folg"
"17180","B1","folgend"
"17185","B1","folgt"
"17187","B1","ford"
"17189","B1","fordert"
"17197","B1","forder"
"17200","B1","for"
"17201","B1","form"
"17202","A1","formular"
"17218","B1","forsch"
"17219","B1","forschung"
"17221","B1","fort"
"17224","B1","fortbild"
"17225","B1","fortgesetzt"
"17226","B1","fortschritt"
"17229","B1","fortsetz"
"17231","B1","forum"
"17232","A2","fot"
"17233","A1","foto"
"17243","A2","fotoapparat"
"17248","B1","fotograf"
"17249","B1","fotografi"
"17252","A2","fotografiert"
"17256","B1","fotografin"
"17257","A2","fotos"
"17260","B1","frag"
"17300","A2","fragt"
"17303","B1","francesco"
"17304","B1","francescos"
"17305","B1","franco"
"17306","A1","frankfurt"
"17330","A2","frankreich"
"17334","A2","franzos"
"17335","B1","frass"
"17336","A1","frau"
"17420","A2","frazgt"
"17421","B1","fre"
"17422","B1","frech"
"17423","A1","frei"
"17449","A2","freiburg"
"17452","B1","freien"
"17453","B1","freihalt"
"17454","B1","freiheit"
"17455","A2","freitag"
"17460","B1","freiwill"
"17461","A1","freizeit"
"17465","B1","freizeitaktiv"
"17466","A2","frel"
"17471","B1","freli"
"17472","A1","fremd"
"17479","B1","fremdsprach"
"17481","B1","fress"
"17485","B1","freud"
"17488","A2","freu"
"17494","A1","freund"
"17533","A1","freundin"
"17560","A2","freundlich"
"17571","B1","freundschaft"
"17572","A2","freut"
"17576","B1","fried"
"17578","B1","frier"
"17579","B1","friert"
"17580","A2","frisch"
"17593","B1","friseur"
"17596","B1","friseurin"
"17598","B1","frisst"
"17599","B1","frist"
"17600","B1","frisur"
"17601","A1","frit"
"17608","A2","froh"
"17614","B1","frohlich"
"17616","B1","fror"
"17617","B1","frucht"
"17621","A2","fruh"
"17636","B1","fruhdien"
"17650","B1","fruhling"
"17651","A2","fruhstuck"
"17681","B1","fruhstuckt"
"17683","B1","fst"
"17684","B1","fugt"
"17686","B1","fuhl"
"17696","B1","fuhlt"
"17698","B1","fuhr"
"17703","B1","fuhrerausweis"
"17705","B1","fuhrerschein"
"17714","A2","fuhrerscheinpruf"
"17715","B1","fuhrt"
"17724","A1","fuhrung"
"17730","A2","full"
"17735","B1","fullt"
"17737","A2","fun"
"17738","B1","fundburo"
"17739","B1","fund"
"17740","A2","fundsach"
"17741","A1","funf"
"17772","B1","funft"
"17773","A1","funfundzwanz"
"17774","B1","funfzehn"
"17775","A1","funfzig"
"17781","B1","funktion"
"17782","B1","funktioni"
"17783","B1","funktioniert"
"17789","A1","fur"
"18114","A2","furchtbar"
"18119","B1","furcht"
"18120","B1","furchtet"
"18123","A1","fuss"
"18140","A1","fussball"
"18157","A2","fussballfan"
"18158","B1","fussballmannschaft"
"18159","B1","fussballspi"
"18160","A2","fussballspiel"
"18164","A2","fussballteam"
"18165","A2","fussballtrainin"
"18166","A2","fussballtraining"
"18167","B1","fussgang"
"18168","B1","fussgangerin"
"18169","B1","fussgangerzon"
"18171","B1","futt"
"18172","B1","futtert"
"18174","B1","fuuhr"
"18175","B1","fuuss"
"18176","B1","gab"
"18196","A2","gabel"
"18201","B1","galeri"
"18202","B1","galt"
"18203","B1","gang"
"18210","A1","ganz"
"18324","B1","gar"
"18338","B1","garag"
"18343","B1","garanti"
"18346","B1","garantiert"
"18348","A1","garcia"
"18349","B1","garderob"
"18351","A1","gart"
"18372","B1","gas"
"18375","A2","gast"
"18391","B1","gastgeb"
"18392","B1","gasthaus"
"18393","B1","gaststatt"
"18394","A2","gbt"
"18395","B1","geachtet"
"18396","B1","geandert"
"18402","B1","geant"
"18403","B1","geantwortet"
"18404","B1","gearbeitet"
"18409","B1","geargert"
"18411","B1","geatmet"
"18412","B1","geback"
"18416","B1","gebadet"
"18417","A2","gebastelt"
"18419","B1","gebaud"
"18425","B1","gebaut"
"18427","A2","geb"
"18475","B1","gebet"
"18476","B1","gebiet"
"18478","B1","gebirg"
"18479","B1","gebiss"
"18480","A2","geblieb"
"18487","B1","geblitzt"
"18488","B1","gebluht"
"18489","B1","geblutet"
"18490","A1","gebor"
"18502","B1","gebot"
"18503","B1","gebracht"
"18507","B1","gebrannt"
"18509","B1","gebrat"
"18511","B1","gebrauch"
"18512","B1","gebrauchsanweis"
"18513","B1","gebraucht"
"18521","B1","gebrem"
"18522","B1","gebroch"
"18530","B1","gebucht"
"18535","B1","gebuhr"
"18537","B1","geburt"
"18541","B1","geburtsdatum"
"18542","A1","geburtsjahr"
"18544","A1","geburtsort"
"18546","A1","geburtstag"
"18582","B1","geburtstagsfei"
"18583","B1","geburtstagsparty"
"18584","B1","geburtstagst"
"18585","A2","geburtstas"
"18586","A2","gechattet"
"18587","B1","gedacht"
"18590","B1","gedank"
"18594","B1","gedankt"
"18595","B1","gedauert"
"18597","B1","gedavuert"
"18598","B1","gedicht"
"18599","B1","gedient"
"18600","B1","gedonnert"
"18601","B1","gedreht"
"18602","B1","gedruckt"
"18604","B1","geduld"
"18605","B1","gedurft"
"18606","B1","geduscht"
"18607","B1","geduzt"
"18608","B1","geehrt"
"18613","B1","geeignet"
"18615","B1","geeilt"
"18616","B1","geeinigt"
"18617","B1","geendet"
"18618","A2","geéproch"
"18619","B1","gefahr"
"18637","A1","gefall"
"18658","A2","gefallt"
"18683","B1","gefang"
"18685","B1","gefangnis"
"18686","B1","gefasst"
"18689","B1","gefaulenzt"
"18690","B1","gefehlt"
"18691","B1","gefeiert"
"18694","A2","gefelert"
"18695","B1","gefiel"
"18696","B1","geflog"
"18699","B1","gefloh"
"18700","B1","gefloss"
"18701","B1","gefolgt"
"18702","B1","gefordert"
"18704","B1","gefragt"
"18707","B1","gefress"
"18708","B1","gefreut"
"18712","B1","gefror"
"18713","B1","gefruhstuckt"
"18716","B1","gefuhl"
"18717","B1","gefuhlt"
"18718","B1","gefuhrt"
"18719","A2","gefund"
"18729","B1","gefurchtet"
"18730","B1","gefuttert"
"18731","A2","gegang"
"18749","B1","gegeb"
"18758","A1","geg"
"18791","B1","gegend"
"18795","B1","gegensatz"
"18797","B1","gegenstand"
"18799","A2","gegenteil"
"18804","A2","gegenub"
"18810","B1","gegess"
"18819","B1","geglaubt"
"18820","B1","gegn"
"18821","B1","gegnerin"
"18822","A2","gegnllt"
"18823","B1","gegolt"
"18824","B1","gegoss"
"18825","B1","gegriff"
"18826","B1","gegrillt"
"18827","B1","gegrundet"
"18828","B1","gegrusst"
"18829","B1","geguckt"
"18830","A2","geh"
"18835","A2","gehabt"
"18838","B1","gehagelt"
"18839","A2","gehalt"
"18844","B1","gehandelt"
"18845","B1","gehang"
"18846","A2","gehangt"
"18849","B1","gehasst"
"18895","B1","geheim"
"18896","B1","geheimnis"
"18898","B1","geheiratet"
"18904","B1","geheiss"
"18905","B1","geheizt"
"19038","B1","gehob"
"19039","B1","gehofft"
"19040","B1","geholf"
"19048","B1","geholt"
"19050","A2","gehor"
"19052","A1","gehort"
"19078","A2","gehst"
"19083","B1","gehsteig"
"19085","A1","geht"
"19185","B1","gehupt"
"19186","B1","gehustet"
"19188","B1","geig"
"19189","B1","geirrt"
"19191","A2","gejoggt"
"19192","B1","gekampft"
"19193","B1","gekannt"
"19194","A2","gekauft"
"19224","B1","geklagt"
"19225","A2","geklappt"
"19233","B1","geklart"
"19234","B1","geklebt"
"19235","B1","geklettert"
"19237","B1","geklickt"
"19238","B1","geklingelt"
"19241","B1","geklopft"
"19242","B1","geklung"
"19243","B1","gekocht"
"19245","B1","gekom"
"19246","B1","gekomm"
"19260","B1","gekonnt"
"19261","B1","gekostet"
"19266","B1","gekriegt"
"19268","B1","gekummert"
"19269","A2","gekundigt"
"19275","B1","gekusst"
"19276","B1","gelachelt"
"19277","A2","gelacht"
"19284","B1","gelandet"
"19286","B1","gelang"
"19287","B1","gelangweilt"
"19288","B1","gelass"
"19293","B1","gelauf"
"19297","A2","gelb"
"19300","A1","geld"
"19349","B1","geldautomat"
"19352","A2","geldbors"
"19357","B1","geldschein"
"19358","B1","geldstraf"
"19359","B1","gelebt"
"19361","B1","geleg"
"19364","B1","gelegt"
"19366","B1","geleistet"
"19367","B1","geleitet"
"19368","A2","gelernt"
"19374","A2","geles"
"19386","A2","gelesgn"
"19387","B1","geliebt"
"19388","B1","geliefert"
"19389","B1","gelieh"
"19391","B1","geling"
"19392","B1","gelingt"
"19393","B1","gelitt"
"19394","B1","gelobt"
"19395","B1","gelog"
"19397","B1","gelohnt"
"19398","B1","geloscht"
"19399","B1","gelost"
"19400","B1","gelt"
"19401","B1","gelung"
"19402","A2","gem"
"19403","A2","gemacht"
"19438","B1","gemalt"
"19441","B1","gemeinsam"
"19443","B1","gemeinschaft"
"19445","B1","gemeint"
"19447","B1","gemeldet"
"19449","B1","gemerkt"
"19451","B1","gemess"
"19452","A2","gemietet"
"19460","B1","gemischt"
"19462","A2","gemocht"
"19465","A1","gemus"
"19476","B1","gemusehandl"
"19477","B1","gemusesupp"
"19478","B1","gemusst"
"19479","B1","gemut"
"19483","B1","genahert"
"19484","B1","genaht"
"19485","B1","genannt"
"19487","A2","genau"
"19503","B1","genauso"
"19505","B1","genauu"
"19506","B1","genavu"
"19507","B1","genblick"
"19508","B1","genehm"
"19509","B1","genehmigt"
"19512","B1","generation"
"19514","B1","geniess"
"19515","B1","geniesst"
"19516","B1","genomm"
"19522","B1","genoss"
"19524","A2","genug"
"19536","B1","genugt"
"19540","B1","genutzt"
"19543","A1","geoffnet"
"19555","B1","geooffnet"
"19556","B1","geordnet"
"19557","A2","georg"
"19558","A1","georgi"
"19559","B1","gepack"
"19571","A2","gepackt"
"19574","B1","geparkt"
"19576","B1","gepasst"
"19577","B1","gepflanzt"
"19578","B1","gepflegt"
"19579","B1","geplant"
"19583","B1","gepruft"
"19585","B1","geputzt"
"19587","A1","gerad"
"19629","A2","geradé"
"19630","A1","geradeaus"
"19635","B1","gerannt"
"19636","B1","gerat"
"19647","B1","geraucht"
"19649","B1","gerausch"
"19650","B1","gerechnet"
"19652","B1","gerecht"
"19653","B1","geredet"
"19655","B1","geregelt"
"19656","B1","geregnet"
"19666","B1","gereicht"
"19667","B1","gereinigt"
"19668","B1","gereist"
"19669","B1","gerettet"
"19670","B1","gericht"
"19675","B1","gerichtssaal"
"19676","B1","gering"
"19679","B1","geritt"
"19680","A1","gern"
"19826","B1","geroch"
"19827","B1","geruf"
"19830","A2","gesagt"
"19842","B1","gesammelt"
"19843","B1","gesamt"
"19845","B1","gesamtgewicht"
"19846","B1","gesamtsumm"
"19847","B1","gesandt"
"19848","B1","geschadet"
"19849","B1","geschafft"
"19850","A1","geschaft"
"19876","B1","geschaftsmann"
"19877","B1","geschaftspartn"
"19878","A2","geschaftsreis"
"19879","B1","geschah"
"19880","B1","geschaltet"
"19881","B1","geschatzt"
"19882","B1","geschaut"
"19883","B1","gescheh"
"19885","A1","geschenk"
"19901","B1","geschenkt"
"19903","A2","geschicht"
"19917","B1","geschickt"
"19922","B1","geschied"
"19926","B1","geschieht"
"19927","B1","geschi"
"19928","B1","geschimpft"
"19930","A2","geschirr"
"19935","A2","geschlaf"
"19940","B1","geschlag"
"19941","B1","geschlecht"
"19942","B1","geschlos"
"19943","A1","geschloss"
"19962","B1","geschmack"
"19963","A2","geschmeckt"
"19966","B1","geschminkt"
"19967","B1","geschneit"
"19971","A2","geschnitt"
"19976","B1","geschob"
"19977","B1","geschoss"
"19978","B1","geschrieb"
"19986","B1","geschri"
"19987","B1","geschuttelt"
"19988","B1","geschutzt"
"19989","A2","geschvvbmm"
"19990","B1","geschwieg"
"19991","B1","geschwind"
"19994","B1","geschwindigkeitsbeschrank"
"19995","A1","geschwist"
"19999","B1","geschwitzt"
"20000","B1","geschwomm"
"20001","A1","geseh"
"20031","B1","gesellschaft"
"20033","B1","gesendet"
"20034","B1","gesess"
"20035","B1","gesetz"
"20036","B1","gesetzt"
"20037","B1","gesetzz"
"20038","B1","gesichert"
"20039","A2","gesicht"
"20045","B1","gesiegt"
"20046","B1","gesiezt"
"20047","B1","gesollt"
"20048","B1","gesorgt"
"20049","B1","gespannt"
"20050","A2","gespar"
"20051","B1","gespart"
"20052","A2","gespeichert"
"20055","B1","gespielt"
"20061","A1","gesprach"
"20071","B1","gesproch"
"20080","B1","gesprung"
"20082","B1","gespult"
"20083","B1","gespurt"
"20084","B1","gespuult"
"20085","B1","gestammt"
"20086","B1","gestand"
"20087","B1","gestartet"
"20088","B1","gestattet"
"20089","B1","gestaubsaugt"
"20090","B1","gesteckt"
"20091","B1","gestellt"
"20097","A1","gest"
"20137","B1","gestieg"
"20142","B1","gestimmt"
"20143","B1","gestoch"
"20144","B1","gestohl"
"20149","B1","gestoppt"
"20150","A1","gestorb"
"20155","B1","gestort"
"20156","B1","gestoss"
"20157","B1","gestreikt"
"20158","B1","gestritt"
"20160","B1","gestunk"
"20161","B1","gesturzt"
"20163","A2","gesucht"
"20166","A2","gesund"
"20179","A2","gesundhat"
"20187","A2","gesundhelt"
"20188","B1","gesung"
"20189","B1","gesunk"
"20192","A2","gesurft"
"20193","B1","getan"
"20197","B1","getankt"
"20198","B1","getanzt"
"20200","B1","getaucht"
"20201","B1","getauscht"
"20202","B1","geteilt"
"20203","B1","getestet"
"20204","B1","getippt"
"20205","B1","getrag"
"20206","A2","getrank"
"20214","B1","getrankeautomat"
"20215","B1","getrankekart"
"20216","A2","getraumt"
"20219","B1","getrennt"
"20225","B1","getret"
"20227","B1","getrieb"
"20228","B1","getrocknet"
"20230","B1","getroff"
"20235","B1","getrunk"
"20236","A2","geubt"
"20237","B1","gewachs"
"20238","A2","gewahlt"
"20244","B1","gewalt"
"20246","B1","gewandert"
"20247","B1","gewann"
"20248","B1","gewarnt"
"20249","B1","gewartet"
"20252","B1","gewasch"
"20255","B1","gewechselt"
"20256","B1","geweckt"
"20257","A2","geweesenn"
"20258","B1","geweigert"
"20259","B1","geweint"
"20260","B1","gewendet"
"20261","B1","gewerkschaft"
"20262","A2","gewes"
"20272","B1","gewettet"
"20273","A1","gewicht"
"20278","B1","gewinkt"
"20279","B1","gewinn"
"20286","B1","gewinnspiel"
"20287","A2","gewinnt"
"20290","B1","gewirkt"
"20291","B1","gewischt"
"20292","B1","gewiss"
"20293","A2","gewitt"
"20300","B1","gewog"
"20301","B1","gewohn"
"20305","A2","gewohnt"
"20319","B1","gewollt"
"20320","B1","gewon"
"20321","A2","gewonn"
"20334","B1","gewoohnt"
"20335","B1","geword"
"20347","B1","geworf"
"20348","B1","gewundert"
"20349","B1","gewunscht"
"20350","B1","gewurz"
"20352","B1","gewusst"
"20354","B1","gezahlt"
"20356","B1","gezeichnet"
"20357","B1","gezeigt"
"20358","B1","gezeltet"
"20359","A2","gezeyichnet"
"20360","B1","gezog"
"20363","B1","gezweifelt"
"20364","B1","gezwung"
"20365","A2","gghe"
"20366","A2","ggmbsi"
"20367","A2","gib"
"20374","B1","gibst"
"20376","A1","gibt"
"20519","B1","giess"
"20521","B1","giesst"
"20522","B1","gift"
"20524","B1","giftig"
"20526","B1","gilt"
"20530","B1","ging"
"20537","B1","girokonto"
"20538","A2","gitarr"
"20543","B1","glac"
"20546","A1","glas"
"20577","B1","glatt"
"20579","A2","glaub"
"20607","B1","glaubt"
"20611","A2","glbt"
"20612","A1","gleich"
"20671","B1","gleichberechtigt"
"20674","B1","gleichfall"
"20677","B1","gleichzeit"
"20678","A1","gleis"
"20685","A2","gluck"
"20698","A1","glucklich"
"20705","A1","gluckwunsch"
"20715","A1","goemh"
"20717","A1","goeth"
"20746","B1","goethestrass"
"20749","B1","gold"
"20751","B1","golf"
"20752","B1","golfspiel"
"20753","A2","gomez"
"20754","A2","gonzalez"
"20756","B1","gott"
"20760","A1","grad"
"20763","B1","grafik"
"20764","B1","gramm"
"20765","A2","grammatikub"
"20766","B1","gras"
"20767","B1","gratis"
"20769","A2","gratuhert"
"20770","B1","gratulation"
"20771","A2","gratuli"
"20776","B1","gratuliert"
"20779","B1","greif"
"20780","B1","greift"
"20781","B1","grenz"
"20783","A2","gressan"
"20784","B1","griff"
"20785","B1","gril"
"20786","B1","grill"
"20795","B1","grilli"
"20797","B1","grilliert"
"20799","B1","grillt"
"20801","B1","grins"
"20802","A2","gripp"
"20812","A1","gross"
"20873","A1","grosselt"
"20914","A1","grossmutt"
"20925","A2","grosst"
"20928","A1","grossvat"
"20931","A2","grun"
"20936","B1","grund"
"20939","B1","grundet"
"20941","B1","grundlich"
"20943","B1","grundstuck"
"20947","A1","grupp"
"20952","A1","gruss"
"20969","B1","grusst"
"20971","B1","guck"
"20973","B1","guckt"
"20975","B1","gultig"
"20982","A2","gunstig"
"20997","A1","gut"
